HargaPurata,HargaRendah,HargaTinggi,NamaPusat,NamaVarieti,UnitBarang,dateTime
15.50,15.00,16.00,"Pusat : KOTA SETAR, KEDAH",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 11:09:31.054510
12.50,10.00,15.00,"Pusat : KOTA SETAR, KEDAH",DAUN BAWANG,KILOGRAM,2023-02-04 11:09:31.057504
8.50,7.00,10.00,"Pusat : KOTA SETAR, KEDAH",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.060495
9.50,9.00,10.00,"Pusat : KOTA SETAR, KEDAH",KACANG BENDI,KILOGRAM,2023-02-04 11:09:31.063490
8.50,7.00,10.00,"Pusat : KOTA SETAR, KEDAH",KACANG BUNCIS,KILOGRAM,2023-02-04 11:09:31.066480
6.00,5.00,7.00,"Pusat : KOTA SETAR, KEDAH",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 11:09:31.068473
4.50,4.00,5.00,"Pusat : KOTA SETAR, KEDAH",KANGKUNG,KILOGRAM,2023-02-04 11:09:31.071465
2.00,2.00,2.00,"Pusat : KOTA SETAR, KEDAH",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:31.073459
6.00,6.00,6.00,"Pusat : KOTA SETAR, KEDAH",KELAPA PARUT,KILOGRAM,2023-02-04 11:09:31.076452
4.50,4.00,5.00,"Pusat : KOTA SETAR, KEDAH",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 11:09:31.080442
3.00,3.00,3.00,"Pusat : KOTA SETAR, KEDAH",KUBIS BULAT (INDONESIA),KILOGRAM,2023-02-04 11:09:31.082436
3.25,3.00,3.50,"Pusat : KOTA SETAR, KEDAH",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.085428
4.25,4.00,4.50,"Pusat : KOTA SETAR, KEDAH",PISANG BERANGAN,KILOGRAM,2023-02-04 11:09:31.087445
4.25,4.00,4.50,"Pusat : KOTA SETAR, KEDAH",PISANG MAS,KILOGRAM,2023-02-04 11:09:31.090414
10.00,10.00,10.00,"Pusat : KOTA SETAR, KEDAH",SANTAN BIASA,KILOGRAM,2023-02-04 11:09:31.092410
5.25,5.00,5.50,"Pusat : KOTA SETAR, KEDAH",SAWI HIJAU,KILOGRAM,2023-02-04 11:09:31.095402
.42,.42,.42,"Pusat : KOTA SETAR, KEDAH",TELUR AYAM,BIJI,2023-02-04 11:09:31.098393
.43,.43,.43,"Pusat : KOTA SETAR, KEDAH",TELUR AYAM,BIJI,2023-02-04 11:09:31.101386
.44,.44,.44,"Pusat : KOTA SETAR, KEDAH",TELUR AYAM,BIJI,2023-02-04 11:09:31.104378
2.50,2.50,2.50,"Pusat : KOTA SETAR, KEDAH",TEMBIKAI MERAH,KILOGRAM,2023-02-04 11:09:31.106372
4.75,4.50,5.00,"Pusat : KOTA SETAR, KEDAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 11:09:31.108366
3.50,3.00,4.00,"Pusat : KOTA SETAR, KEDAH",TIMUN HIJAU,KILOGRAM,2023-02-04 11:09:31.111359
4.75,4.50,5.00,"Pusat : KOTA SETAR, KEDAH",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.115349
3.00,3.00,3.00,"Pusat : KOTA SETAR, KEDAH",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 11:09:31.118340
8.00,8.00,8.00,"Pusat : KOTA BHARU, KELANTAN",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 11:09:31.121332
3.50,3.00,4.00,"Pusat : KOTA BHARU, KELANTAN",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 11:09:31.123326
3.00,3.00,3.00,"Pusat : KOTA BHARU, KELANTAN",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 11:09:31.125321
1.25,1.00,1.50,"Pusat : KOTA BHARU, KELANTAN",BUNGA KANTAN,TANGKAI,2023-02-04 11:09:31.129312
10.00,10.00,10.00,"Pusat : KOTA BHARU, KELANTAN",CILI MERAH MINYAK,KILOGRAM,2023-02-04 11:09:31.132303
15.00,15.00,15.00,"Pusat : KOTA BHARU, KELANTAN",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 11:09:31.135295
14.50,14.00,15.00,"Pusat : KOTA BHARU, KELANTAN",DAUN BAWANG,KILOGRAM,2023-02-04 11:09:31.137330
13.50,12.00,15.00,"Pusat : KOTA BHARU, KELANTAN",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.139449
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KACANG BENDI,KILOGRAM,2023-02-04 11:09:31.142442
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KACANG BUNCIS,KILOGRAM,2023-02-04 11:09:31.146436
7.00,6.00,8.00,"Pusat : KOTA BHARU, KELANTAN",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 11:09:31.149423
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KANGKUNG,KILOGRAM,2023-02-04 11:09:31.152415
1.45,1.40,1.50,"Pusat : KOTA BHARU, KELANTAN",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:31.155407
5.00,5.00,5.00,"Pusat : KOTA BHARU, KELANTAN",KELAPA PARUT,KILOGRAM,2023-02-04 11:09:31.158400
6.00,6.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 11:09:31.161392
4.25,4.00,4.50,"Pusat : KOTA BHARU, KELANTAN",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 11:09:31.165380
4.00,4.00,4.00,"Pusat : KOTA BHARU, KELANTAN",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.168372
4.00,4.00,4.00,"Pusat : KOTA BHARU, KELANTAN",PISANG BERANGAN,KILOGRAM,2023-02-04 11:09:31.170366
7.50,7.00,8.00,"Pusat : KOTA BHARU, KELANTAN",SANTAN BIASA,KILOGRAM,2023-02-04 11:09:31.173360
4.50,4.00,5.00,"Pusat : KOTA BHARU, KELANTAN",SAWI HIJAU,KILOGRAM,2023-02-04 11:09:31.176350
.45,.45,.45,"Pusat : KOTA BHARU, KELANTAN",TELUR AYAM,BIJI,2023-02-04 11:09:31.180371
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 11:09:31.183332
5.00,5.00,5.00,"Pusat : KOTA BHARU, KELANTAN",TIMUN HIJAU,KILOGRAM,2023-02-04 11:09:31.186324
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.189316
2.50,2.50,2.50,"Pusat : KOTA BHARU, KELANTAN",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 11:09:31.191315
6.10,6.00,6.20,"Pusat : MELAKA TENGAH, MELAKA",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 11:09:31.196681
2.75,2.50,3.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG BESAR KUNING / HOLLAND,KILOGRAM,2023-02-04 11:09:31.200287
2.75,2.50,3.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 11:09:31.231204
4.75,4.50,5.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 11:09:31.242234
8.75,8.50,9.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 11:09:31.245226
4.75,4.50,5.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG PUTIH (CHINA),KILOGRAM,2023-02-04 11:09:31.249272
4.00,3.50,4.50,"Pusat : MELAKA TENGAH, MELAKA",BAYAM,KILOGRAM,2023-02-04 11:09:31.252207
3.25,3.00,3.50,"Pusat : MELAKA TENGAH, MELAKA",BELIMBING (B10),KILOGRAM,2023-02-04 11:09:31.256196
9.25,8.50,10.00,"Pusat : MELAKA TENGAH, MELAKA",CILI HIJAU,KILOGRAM,2023-02-04 11:09:31.260186
11.00,10.00,12.00,"Pusat : MELAKA TENGAH, MELAKA",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 11:09:31.264175
10.50,10.00,11.00,"Pusat : MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,KILOGRAM,2023-02-04 11:09:31.281129
10.50,10.00,11.00,"Pusat : MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,KILOGRAM,2023-02-04 11:09:31.301140
11.75,11.50,12.00,"Pusat : MELAKA TENGAH, MELAKA",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 11:09:31.310052
7.50,7.00,8.00,"Pusat : MELAKA TENGAH, MELAKA",DAUN BAWANG,KILOGRAM,2023-02-04 11:09:31.318031
5.00,4.00,6.00,"Pusat : MELAKA TENGAH, MELAKA",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.321023
5.00,4.50,5.50,"Pusat : MELAKA TENGAH, MELAKA",KACANG BENDI,KILOGRAM,2023-02-04 11:09:31.323017
7.50,7.00,8.00,"Pusat : MELAKA TENGAH, MELAKA",KACANG BUNCIS,KILOGRAM,2023-02-04 11:09:31.325012
5.25,4.50,6.00,"Pusat : MELAKA TENGAH, MELAKA",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 11:09:31.329998
4.00,3.50,4.50,"Pusat : MELAKA TENGAH, MELAKA",KANGKUNG,KILOGRAM,2023-02-04 11:09:31.334248
1.70,1.60,1.80,"Pusat : MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:31.336979
6.00,6.00,6.00,"Pusat : MELAKA TENGAH, MELAKA",KELAPA PARUT,KILOGRAM,2023-02-04 11:09:31.339972
3.75,3.00,4.50,"Pusat : MELAKA TENGAH, MELAKA",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 11:09:31.343974
3.30,3.30,3.30,"Pusat : MELAKA TENGAH, MELAKA",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 11:09:31.347953
2.50,2.00,3.00,"Pusat : MELAKA TENGAH, MELAKA",KUBIS BULAT (INDONESIA),KILOGRAM,2023-02-04 11:09:31.349945
2.50,2.00,3.00,"Pusat : MELAKA TENGAH, MELAKA",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.352937
3.75,3.50,4.00,"Pusat : MELAKA TENGAH, MELAKA",PISANG BERANGAN,KILOGRAM,2023-02-04 11:09:31.355929
3.25,3.00,3.50,"Pusat : MELAKA TENGAH, MELAKA",PISANG MAS,KILOGRAM,2023-02-04 11:09:31.357925
7.75,7.50,8.00,"Pusat : MELAKA TENGAH, MELAKA",SANTAN BIASA,KILOGRAM,2023-02-04 11:09:31.360919
4.15,3.80,4.50,"Pusat : MELAKA TENGAH, MELAKA",SAWI HIJAU,KILOGRAM,2023-02-04 11:09:31.363908
.45,.44,.45,"Pusat : MELAKA TENGAH, MELAKA",TELUR AYAM,BIJI,2023-02-04 11:09:31.366901
.43,.42,.43,"Pusat : MELAKA TENGAH, MELAKA",TELUR AYAM,BIJI,2023-02-04 11:09:31.369894
.41,.40,.41,"Pusat : MELAKA TENGAH, MELAKA",TELUR AYAM,BIJI,2023-02-04 11:09:31.371887
2.75,2.50,3.00,"Pusat : MELAKA TENGAH, MELAKA",TEMBIKAI MERAH,KILOGRAM,2023-02-04 11:09:31.374879
5.50,5.00,6.00,"Pusat : MELAKA TENGAH, MELAKA",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 11:09:31.377872
3.75,3.00,4.50,"Pusat : MELAKA TENGAH, MELAKA",TIMUN HIJAU,KILOGRAM,2023-02-04 11:09:31.381859
4.00,3.50,4.50,"Pusat : MELAKA TENGAH, MELAKA",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.383854
2.75,2.50,3.00,"Pusat : MELAKA TENGAH, MELAKA",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 11:09:31.386847
8.25,8.00,8.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 11:09:31.389838
3.00,3.00,3.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",BAWANG BESAR KUNING / HOLLAND,KILOGRAM,2023-02-04 11:09:31.392831
3.50,3.50,3.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 11:09:31.395823
5.50,5.50,5.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 11:09:31.398815
9.50,9.00,10.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 11:09:31.401807
5.00,5.00,5.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",BAWANG PUTIH (CHINA),KILOGRAM,2023-02-04 11:09:31.403801
4.25,4.00,4.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",BAYAM,KILOGRAM,2023-02-04 11:09:31.406793
3.10,3.00,3.20,"Pusat : SEREMBAN, NEGERI SEMBILAN",BELIMBING (B10),KILOGRAM,2023-02-04 11:09:31.408788
7.75,7.50,8.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",CILI HIJAU,KILOGRAM,2023-02-04 11:09:31.412778
11.50,11.00,12.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 11:09:31.415770
11.00,10.00,12.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",CILI MERAH MINYAK,KILOGRAM,2023-02-04 11:09:31.417764
13.00,13.00,13.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 11:09:31.420756
11.00,10.00,12.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",DAUN BAWANG,KILOGRAM,2023-02-04 11:09:31.422752
9.50,9.00,10.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.424745
5.75,5.50,6.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KACANG BENDI,KILOGRAM,2023-02-04 11:09:31.427739
11.00,10.00,12.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KACANG BUNCIS,KILOGRAM,2023-02-04 11:09:31.431727
6.75,6.50,7.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 11:09:31.433721
4.75,4.50,5.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KANGKUNG,KILOGRAM,2023-02-04 11:09:31.436713
2.10,2.00,2.20,"Pusat : SEREMBAN, NEGERI SEMBILAN",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:31.438709
6.75,6.50,7.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KELAPA PARUT,KILOGRAM,2023-02-04 11:09:31.441700
4.75,4.50,5.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 11:09:31.443699
2.30,1.80,2.80,"Pusat : SEREMBAN, NEGERI SEMBILAN",KUBIS BULAT (INDONESIA),KILOGRAM,2023-02-04 11:09:31.446689
2.90,2.80,3.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.449678
4.90,4.80,5.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",PISANG BERANGAN,KILOGRAM,2023-02-04 11:09:31.452671
5.00,5.00,5.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",PISANG MAS,KILOGRAM,2023-02-04 11:09:31.455663
7.25,7.00,7.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",SANTAN BIASA,KILOGRAM,2023-02-04 11:09:31.457657
6.00,5.50,6.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",SAWI HIJAU,KILOGRAM,2023-02-04 11:09:31.460650
.40,.40,.40,"Pusat : SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,BIJI,2023-02-04 11:09:31.463641
.38,.38,.38,"Pusat : SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,BIJI,2023-02-04 11:09:31.466634
.37,.37,.37,"Pusat : SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,BIJI,2023-02-04 11:09:31.469626
3.10,3.00,3.20,"Pusat : SEREMBAN, NEGERI SEMBILAN",TEMBIKAI MERAH,KILOGRAM,2023-02-04 11:09:31.472617
6.50,6.00,7.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 11:09:31.475612
2.60,2.20,3.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",TIMUN HIJAU,KILOGRAM,2023-02-04 11:09:31.479600
4.25,4.00,4.50,"Pusat : SEREMBAN, NEGERI SEMBILAN",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.482591
3.00,3.00,3.00,"Pusat : SEREMBAN, NEGERI SEMBILAN",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 11:09:31.485583
4.80,4.80,4.80,"Pusat : KUANTAN, PAHANG",AYAM HIDUP,KILOGRAM,2023-02-04 11:09:31.488576
7.00,7.00,7.00,"Pusat : KUANTAN, PAHANG",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 11:09:31.491566
2.50,2.50,2.50,"Pusat : KUANTAN, PAHANG",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 11:09:31.494561
5.00,5.00,5.00,"Pusat : KUANTAN, PAHANG",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 11:09:31.497552
4.00,4.00,4.00,"Pusat : KUANTAN, PAHANG",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 11:09:31.500543
7.50,7.00,8.00,"Pusat : KUANTAN, PAHANG",BAYAM,KILOGRAM,2023-02-04 11:09:31.507524
6.00,6.00,6.00,"Pusat : KUANTAN, PAHANG",BELIMBING (B10),KILOGRAM,2023-02-04 11:09:31.522484
2.50,2.50,2.50,"Pusat : KUANTAN, PAHANG",BETIK SEKAKI,KILOGRAM,2023-02-04 11:09:31.532457
3.00,3.00,3.00,"Pusat : KUANTAN, PAHANG",BUNGA KANTAN,TANGKAI,2023-02-04 11:09:31.573348
14.50,14.00,15.00,"Pusat : KUANTAN, PAHANG",CILI HIJAU,KILOGRAM,2023-02-04 11:09:31.592297
16.50,15.00,18.00,"Pusat : KUANTAN, PAHANG",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 11:09:31.597285
15.50,15.00,16.00,"Pusat : KUANTAN, PAHANG",CILI MERAH MINYAK,KILOGRAM,2023-02-04 11:09:31.603268
15.00,15.00,15.00,"Pusat : KUANTAN, PAHANG",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 11:09:31.611247
11.00,10.00,12.00,"Pusat : KUANTAN, PAHANG",DAUN BAWANG,KILOGRAM,2023-02-04 11:09:31.616233
11.00,10.00,12.00,"Pusat : KUANTAN, PAHANG",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.620222
9.50,9.00,10.00,"Pusat : KUANTAN, PAHANG",KACANG BENDI,KILOGRAM,2023-02-04 11:09:31.623260
10.50,9.00,12.00,"Pusat : KUANTAN, PAHANG",KACANG BUNCIS,KILOGRAM,2023-02-04 11:09:31.626240
11.00,10.00,12.00,"Pusat : KUANTAN, PAHANG",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 11:09:31.630196
7.50,7.00,8.00,"Pusat : KUANTAN, PAHANG",KANGKUNG,KILOGRAM,2023-02-04 11:09:31.633188
3.00,3.00,3.00,"Pusat : KUANTAN, PAHANG",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:31.636180
2.00,2.00,2.00,"Pusat : KUANTAN, PAHANG",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:31.639173
