Year,Month,Strata,Main groups,Index Value
2017,JUL,Urban,Total,119.1
2017,JUL,Urban,Food and Non- Alcoholic Beverages,130.8
2017,JUL,Urban,Alcoholic Beverages and Tobacco,163.2
2017,JUL,Urban,Clothing and Footware,97.0
2017,JUL,Urban,"Housing, Water, Electricity, Gas and Other Fuels",117.2
2017,JUL,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.1
2017,JUL,Urban,Health,122.3
2017,JUL,Urban,Transport,109.8
2017,JUL,Urban,Communication,97.7
2017,JUL,Urban,Recreation Services and Culture,111.6
2017,JUL,Urban,Education,117.2
2017,JUL,Urban,Restaurants and Hotels,129.8
2017,JUL,Urban,Miscellaneous Goods and Services,114.5
2017,AUG,Urban,Total,120.2
2017,AUG,Urban,Food and Non- Alcoholic Beverages,131.2
2017,AUG,Urban,Alcoholic Beverages and Tobacco,163.3
2017,AUG,Urban,Clothing and Footware,96.8
2017,AUG,Urban,"Housing, Water, Electricity, Gas and Other Fuels",118.0
2017,AUG,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.2
2017,AUG,Urban,Health,122.4
2017,AUG,Urban,Transport,114.8
2017,AUG,Urban,Communication,97.7
2017,AUG,Urban,Recreation Services and Culture,111.5
2017,AUG,Urban,Education,117.2
2017,AUG,Urban,Restaurants and Hotels,130.4
2017,AUG,Urban,Miscellaneous Goods and Services,114.2
2017,SEP,Urban,Total,120.5
2017,SEP,Urban,Food and Non- Alcoholic Beverages,131.3
2017,SEP,Urban,Alcoholic Beverages and Tobacco,163.3
2017,SEP,Urban,Clothing and Footware,97.0
2017,SEP,Urban,"Housing, Water, Electricity, Gas and Other Fuels",118.0
2017,SEP,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.3
2017,SEP,Urban,Health,122.6
2017,SEP,Urban,Transport,117.1
2017,SEP,Urban,Communication,97.6
2017,SEP,Urban,Recreation Services and Culture,111.5
2017,SEP,Urban,Education,117.3
2017,SEP,Urban,Restaurants and Hotels,130.5
2017,SEP,Urban,Miscellaneous Goods and Services,114.5
2017,OCT,Urban,Total,120.5
2017,OCT,Urban,Food and Non- Alcoholic Beverages,131.1
2017,OCT,Urban,Alcoholic Beverages and Tobacco,163.4
2017,OCT,Urban,Clothing and Footware,96.9
2017,OCT,Urban,"Housing, Water, Electricity, Gas and Other Fuels",118.1
2017,OCT,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.2
2017,OCT,Urban,Health,122.6
2017,OCT,Urban,Transport,116.9
2017,OCT,Urban,Communication,97.5
2017,OCT,Urban,Recreation Services and Culture,111.6
2017,OCT,Urban,Education,117.3
2017,OCT,Urban,Restaurants and Hotels,130.7
2017,OCT,Urban,Miscellaneous Goods and Services,114.6
2017,NOV,Urban,Total,121.2
2017,NOV,Urban,Food and Non- Alcoholic Beverages,131.5
2017,NOV,Urban,Alcoholic Beverages and Tobacco,163.5
2017,NOV,Urban,Clothing and Footware,96.8
2017,NOV,Urban,"Housing, Water, Electricity, Gas and Other Fuels",118.4
2017,NOV,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.2
2017,NOV,Urban,Health,122.8
2017,NOV,Urban,Transport,120.7
2017,NOV,Urban,Communication,97.4
2017,NOV,Urban,Recreation Services and Culture,111.7
2017,NOV,Urban,Education,117.3
2017,NOV,Urban,Restaurants and Hotels,130.8
2017,NOV,Urban,Miscellaneous Goods and Services,114.5
2017,DEC,Urban,Total,121.3
2017,DEC,Urban,Food and Non- Alcoholic Beverages,132.5
2017,DEC,Urban,Alcoholic Beverages and Tobacco,163.5
2017,DEC,Urban,Clothing and Footware,96.6
2017,DEC,Urban,"Housing, Water, Electricity, Gas and Other Fuels",118.4
2017,DEC,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.3
2017,DEC,Urban,Health,123.1
2017,DEC,Urban,Transport,119.8
2017,DEC,Urban,Communication,97.3
2017,DEC,Urban,Recreation Services and Culture,111.7
2017,DEC,Urban,Education,117.5
2017,DEC,Urban,Restaurants and Hotels,130.9
2017,DEC,Urban,Miscellaneous Goods and Services,114.3
2017,JAN,Rural,Total,116.5
2017,JAN,Rural,Food and Non- Alcoholic Beverages,122.4
2017,JAN,Rural,Alcoholic Beverages and Tobacco,171.7
2017,JAN,Rural,Clothing and Footware,100.9
2017,JAN,Rural,"Housing, Water, Electricity, Gas and Other Fuels",112.8
2017,JAN,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",109.3
2017,JAN,Rural,Health,116.2
2017,JAN,Rural,Transport,112.5
2017,JAN,Rural,Communication,98.1
2017,JAN,Rural,Recreation Services and Culture,110.5
2017,JAN,Rural,Education,113.2
2017,JAN,Rural,Restaurants and Hotels,121.0
2017,JAN,Rural,Miscellaneous Goods and Services,113.4
2017,FEB,Rural,Total,117.9
2017,FEB,Rural,Food and Non- Alcoholic Beverages,123.2
2017,FEB,Rural,Alcoholic Beverages and Tobacco,171.7
2017,FEB,Rural,Clothing and Footware,100.9
2017,FEB,Rural,"Housing, Water, Electricity, Gas and Other Fuels",113.5
2017,FEB,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",109.6
2017,FEB,Rural,Health,116.3
2017,FEB,Rural,Transport,118.8
2017,FEB,Rural,Communication,98.0
2017,FEB,Rural,Recreation Services and Culture,110.7
2017,FEB,Rural,Education,113.5
2017,FEB,Rural,Restaurants and Hotels,121.3
2017,FEB,Rural,Miscellaneous Goods and Services,113.7
2017,MAR,Rural,Total,117.8
2017,MAR,Rural,Food and Non- Alcoholic Beverages,122.9
2017,MAR,Rural,Alcoholic Beverages and Tobacco,171.7
2017,MAR,Rural,Clothing and Footware,100.7
2017,MAR,Rural,"Housing, Water, Electricity, Gas and Other Fuels",113.5
2017,MAR,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",109.8
2017,MAR,Rural,Health,116.5
2017,MAR,Rural,Transport,118.8
2017,MAR,Rural,Communication,98.0
2017,MAR,Rural,Recreation Services and Culture,110.7
2017,MAR,Rural,Education,113.6
2017,MAR,Rural,Restaurants and Hotels,121.5
2017,MAR,Rural,Miscellaneous Goods and Services,113.7
2017,APR,Rural,Total,117.4
2017,APR,Rural,Food and Non- Alcoholic Beverages,122.8
2017,APR,Rural,Alcoholic Beverages and Tobacco,171.7
2017,APR,Rural,Clothing and Footware,100.8
2017,APR,Rural,"Housing, Water, Electricity, Gas and Other Fuels",113.5
2017,APR,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",109.9
2017,APR,Rural,Health,116.5
2017,APR,Rural,Transport,116.4
2017,APR,Rural,Communication,98.1
2017,APR,Rural,Recreation Services and Culture,110.7
2017,APR,Rural,Education,113.6
2017,APR,Rural,Restaurants and Hotels,121.5
2017,APR,Rural,Miscellaneous Goods and Services,113.8
2017,MAY,Rural,Total,117.2
2017,MAY,Rural,Food and Non- Alcoholic Beverages,123.5
2017,MAY,Rural,Alcoholic Beverages and Tobacco,171.7
2017,MAY,Rural,Clothing and Footware,100.8
2017,MAY,Rural,"Housing, Water, Electricity, Gas and Other Fuels",113.8
2017,MAY,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",110.1
2017,MAY,Rural,Health,116.7
2017,MAY,Rural,Transport,112.6
2017,MAY,Rural,Communication,98.0
2017,MAY,Rural,Recreation Services and Culture,110.7
2017,MAY,Rural,Education,113.6
2017,MAY,Rural,Restaurants and Hotels,121.5
2017,MAY,Rural,Miscellaneous Goods and Services,113.7
2017,JUN,Rural,Total,117.0
2017,JUN,Rural,Food and Non- Alcoholic Beverages,124.1
2017,JUN,Rural,Alcoholic Beverages and Tobacco,171.7
2017,JUN,Rural,Clothing and Footware,100.7
2017,JUN,Rural,"Housing, Water, Electricity, Gas and Other Fuels",113.8
2017,JUN,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",110.1
2017,JUN,Rural,Health,116.8
2017,JUN,Rural,Transport,109.7
2017,JUN,Rural,Communication,98.0
2017,JUN,Rural,Recreation Services and Culture,110.8
2017,JUN,Rural,Education,113.6
2017,JUN,Rural,Restaurants and Hotels,121.5
2017,JUN,Rural,Miscellaneous Goods and Services,113.8
2017,JUL,Rural,Total,117.0
2017,JUL,Rural,Food and Non- Alcoholic Beverages,124.4
2017,JUL,Rural,Alcoholic Beverages and Tobacco,171.7
2017,JUL,Rural,Clothing and Footware,100.7
2017,JUL,Rural,"Housing, Water, Electricity, Gas and Other Fuels",113.8
2017,JUL,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",110.9
2017,JUL,Rural,Health,117.2
2017,JUL,Rural,Transport,108.6
2017,JUL,Rural,Communication,98.0
2017,JUL,Rural,Recreation Services and Culture,110.9
2017,JUL,Rural,Education,113.7
2017,JUL,Rural,Restaurants and Hotels,121.9
2017,JUL,Rural,Miscellaneous Goods and Services,113.9
2017,AUG,Rural,Total,118.0
2017,AUG,Rural,Food and Non- Alcoholic Beverages,124.9
2017,AUG,Rural,Alcoholic Beverages and Tobacco,171.7
2017,AUG,Rural,Clothing and Footware,100.7
2017,AUG,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.2
2017,AUG,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.0
2017,AUG,Rural,Health,117.4
2017,AUG,Rural,Transport,113.6
2017,AUG,Rural,Communication,98.0
2017,AUG,Rural,Recreation Services and Culture,110.8
2017,AUG,Rural,Education,113.8
2017,AUG,Rural,Restaurants and Hotels,122.1
2017,AUG,Rural,Miscellaneous Goods and Services,114.0
2017,SEP,Rural,Total,118.3
2017,SEP,Rural,Food and Non- Alcoholic Beverages,124.8
2017,SEP,Rural,Alcoholic Beverages and Tobacco,171.7
2017,SEP,Rural,Clothing and Footware,100.9
2017,SEP,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.2
2017,SEP,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.1
2017,SEP,Rural,Health,117.5
2017,SEP,Rural,Transport,115.9
2017,SEP,Rural,Communication,98.0
2017,SEP,Rural,Recreation Services and Culture,110.8
2017,SEP,Rural,Education,113.8
2017,SEP,Rural,Restaurants and Hotels,122.1
2017,SEP,Rural,Miscellaneous Goods and Services,114.1
2017,OCT,Rural,Total,118.1
2017,OCT,Rural,Food and Non- Alcoholic Beverages,124.4
2017,OCT,Rural,Alcoholic Beverages and Tobacco,171.7
2017,OCT,Rural,Clothing and Footware,100.8
2017,OCT,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.2
2017,OCT,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.2
2017,OCT,Rural,Health,117.5
2017,OCT,Rural,Transport,115.7
2017,OCT,Rural,Communication,97.9
2017,OCT,Rural,Recreation Services and Culture,110.9
2017,OCT,Rural,Education,113.8
2017,OCT,Rural,Restaurants and Hotels,122.1
2017,OCT,Rural,Miscellaneous Goods and Services,114.0
2017,NOV,Rural,Total,118.9
2017,NOV,Rural,Food and Non- Alcoholic Beverages,124.9
2017,NOV,Rural,Alcoholic Beverages and Tobacco,171.7
2017,NOV,Rural,Clothing and Footware,100.7
2017,NOV,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.5
2017,NOV,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.3
2017,NOV,Rural,Health,117.6
2017,NOV,Rural,Transport,119.5
2017,NOV,Rural,Communication,97.9
2017,NOV,Rural,Recreation Services and Culture,111.1
2017,NOV,Rural,Education,113.8
2017,NOV,Rural,Restaurants and Hotels,122.3
2017,NOV,Rural,Miscellaneous Goods and Services,114.1
2017,DEC,Rural,Total,119.1
2017,DEC,Rural,Food and Non- Alcoholic Beverages,125.7
2017,DEC,Rural,Alcoholic Beverages and Tobacco,171.7
2017,DEC,Rural,Clothing and Footware,100.7
2017,DEC,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.5
2017,DEC,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.3
2017,DEC,Rural,Health,117.7
2017,DEC,Rural,Transport,118.7
2017,DEC,Rural,Communication,97.8
2017,DEC,Rural,Recreation Services and Culture,111.1
2017,DEC,Rural,Education,113.9
2017,DEC,Rural,Restaurants and Hotels,122.5
2017,DEC,Rural,Miscellaneous Goods and Services,113.8
2018,JAN,Urban,Total,121.7
2018,JAN,Urban,Food and Non- Alcoholic Beverages,133.4
2018,JAN,Urban,Alcoholic Beverages and Tobacco,163.5
2018,JAN,Urban,Clothing and Footware,96.8
2018,JAN,Urban,"Housing, Water, Electricity, Gas and Other Fuels",118.4
2018,JAN,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.9
2018,JAN,Urban,Health,123.6
2018,JAN,Urban,Transport,120.3
2018,JAN,Urban,Communication,97.3
2018,JAN,Urban,Recreation Services and Culture,111.8
2018,JAN,Urban,Education,118.3
2018,JAN,Urban,Restaurants and Hotels,130.9
2018,JAN,Urban,Miscellaneous Goods and Services,114.6
2018,FEB,Urban,Total,121.8
2018,FEB,Urban,Food and Non- Alcoholic Beverages,133.6
2018,FEB,Urban,Alcoholic Beverages and Tobacco,163.4
2018,FEB,Urban,Clothing and Footware,96.6
2018,FEB,Urban,"Housing, Water, Electricity, Gas and Other Fuels",119.1
2018,FEB,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.8
2018,FEB,Urban,Health,123.6
2018,FEB,Urban,Transport,119.6
2018,FEB,Urban,Communication,97.2
2018,FEB,Urban,Recreation Services and Culture,112.0
2018,FEB,Urban,Education,118.3
2018,FEB,Urban,Restaurants and Hotels,131.1
2018,FEB,Urban,Miscellaneous Goods and Services,114.3
2018,MAR,Urban,Total,121.4
2018,MAR,Urban,Food and Non- Alcoholic Beverages,132.9
2018,MAR,Urban,Alcoholic Beverages and Tobacco,163.5
2018,MAR,Urban,Clothing and Footware,96.5
2018,MAR,Urban,"Housing, Water, Electricity, Gas and Other Fuels",119.1
2018,MAR,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.9
2018,MAR,Urban,Health,123.8
2018,MAR,Urban,Transport,117.9
2018,MAR,Urban,Communication,97.1
2018,MAR,Urban,Recreation Services and Culture,112.0
2018,MAR,Urban,Education,118.5
2018,MAR,Urban,Restaurants and Hotels,131.4
2018,MAR,Urban,Miscellaneous Goods and Services,114.5
2018,APR,Urban,Total,121.4
2018,APR,Urban,Food and Non- Alcoholic Beverages,132.6
2018,APR,Urban,Alcoholic Beverages and Tobacco,163.6
2018,APR,Urban,Clothing and Footware,96.6
2018,APR,Urban,"Housing, Water, Electricity, Gas and Other Fuels",119.1
2018,APR,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",117.0
2018,APR,Urban,Health,124.1
2018,APR,Urban,Transport,118.0
2018,APR,Urban,Communication,96.9
2018,APR,Urban,Recreation Services and Culture,112.1
2018,APR,Urban,Education,118.6
2018,APR,Urban,Restaurants and Hotels,132.0
2018,APR,Urban,Miscellaneous Goods and Services,114.7
2018,MAY,Urban,Total,121.6
2018,MAY,Urban,Food and Non- Alcoholic Beverages,132.9
2018,MAY,Urban,Alcoholic Beverages and Tobacco,163.7
2018,MAY,Urban,Clothing and Footware,96.6
2018,MAY,Urban,"Housing, Water, Electricity, Gas and Other Fuels",119.7
2018,MAY,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",117.1
2018,MAY,Urban,Health,124.1
2018,MAY,Urban,Transport,118.1
2018,MAY,Urban,Communication,96.8
2018,MAY,Urban,Recreation Services and Culture,112.0
2018,MAY,Urban,Education,118.7
2018,MAY,Urban,Restaurants and Hotels,132.1
2018,MAY,Urban,Miscellaneous Goods and Services,114.8
2018,JUN,Urban,Total,120.0
2018,JUN,Urban,Food and Non- Alcoholic Beverages,131.4
2018,JUN,Urban,Alcoholic Beverages and Tobacco,162.3
2018,JUN,Urban,Clothing and Footware,93.8
2018,JUN,Urban,"Housing, Water, Electricity, Gas and Other Fuels",119.1
2018,JUN,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",114.2
2018,JUN,Urban,Health,122.1
2018,JUN,Urban,Transport,117.1
2018,JUN,Urban,Communication,93.7
2018,JUN,Urban,Recreation Services and Culture,108.7
2018,JUN,Urban,Education,118.5
2018,JUN,Urban,Restaurants and Hotels,131.1
2018,JUN,Urban,Miscellaneous Goods and Services,110.9
2018,JUL,Urban,Total,120.2
2018,JUL,Urban,Food and Non- Alcoholic Beverages,131.8
2018,JUL,Urban,Alcoholic Beverages and Tobacco,161.9
2018,JUL,Urban,Clothing and Footware,93.6
2018,JUL,Urban,"Housing, Water, Electricity, Gas and Other Fuels",119.6
2018,JUL,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",114.2
2018,JUL,Urban,Health,122.2
2018,JUL,Urban,Transport,117.1
2018,JUL,Urban,Communication,93.7
2018,JUL,Urban,Recreation Services and Culture,108.9
2018,JUL,Urban,Education,118.6
2018,JUL,Urban,Restaurants and Hotels,131.0
2018,JUL,Urban,Miscellaneous Goods and Services,110.9
2018,AUG,Urban,Total,120.4
2018,AUG,Urban,Food and Non- Alcoholic Beverages,131.9
2018,AUG,Urban,Alcoholic Beverages and Tobacco,161.8
2018,AUG,Urban,Clothing and Footware,93.6
2018,AUG,Urban,"Housing, Water, Electricity, Gas and Other Fuels",120.3
2018,AUG,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",114.2
2018,AUG,Urban,Health,122.3
2018,AUG,Urban,Transport,117.2
2018,AUG,Urban,Communication,93.5
2018,AUG,Urban,Recreation Services and Culture,109.0
2018,AUG,Urban,Education,118.7
2018,AUG,Urban,Restaurants and Hotels,131.3
2018,AUG,Urban,Miscellaneous Goods and Services,110.7
2018,SEP,Urban,Total,120.9
2018,SEP,Urban,Food and Non- Alcoholic Beverages,132.1
2018,SEP,Urban,Alcoholic Beverages and Tobacco,161.8
2018,SEP,Urban,Clothing and Footware,93.5
2018,SEP,Urban,"Housing, Water, Electricity, Gas and Other Fuels",120.5
2018,SEP,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",115.4
2018,SEP,Urban,Health,122.4
2018,SEP,Urban,Transport,117.5
2018,SEP,Urban,Communication,95.9
2018,SEP,Urban,Recreation Services and Culture,111.2
2018,SEP,Urban,Education,118.7
2018,SEP,Urban,Restaurants and Hotels,131.9
2018,SEP,Urban,Miscellaneous Goods and Services,110.9
2018,OCT,Urban,Total,121.2
2018,OCT,Urban,Food and Non- Alcoholic Beverages,132.9
2018,OCT,Urban,Alcoholic Beverages and Tobacco,162.2
2018,OCT,Urban,Clothing and Footware,93.5
2018,OCT,Urban,"Housing, Water, Electricity, Gas and Other Fuels",120.6
2018,OCT,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",115.9
2018,OCT,Urban,Health,122.4
2018,OCT,Urban,Transport,117.8
2018,OCT,Urban,Communication,95.9
2018,OCT,Urban,Recreation Services and Culture,111.3
2018,OCT,Urban,Education,118.7
2018,OCT,Urban,Restaurants and Hotels,132.1
2018,OCT,Urban,Miscellaneous Goods and Services,111.2
2018,NOV,Urban,Total,121.5
2018,NOV,Urban,Food and Non- Alcoholic Beverages,133.2
2018,NOV,Urban,Alcoholic Beverages and Tobacco,165.2
2018,NOV,Urban,Clothing and Footware,93.4
2018,NOV,Urban,"Housing, Water, Electricity, Gas and Other Fuels",120.8
2018,NOV,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.2
2018,NOV,Urban,Health,122.6
2018,NOV,Urban,Transport,118.0
2018,NOV,Urban,Communication,95.9
2018,NOV,Urban,Recreation Services and Culture,111.3
2018,NOV,Urban,Education,119.0
2018,NOV,Urban,Restaurants and Hotels,132.5
2018,NOV,Urban,Miscellaneous Goods and Services,111.4
2018,DEC,Urban,Total,121.5
2018,DEC,Urban,Food and Non- Alcoholic Beverages,133.7
2018,DEC,Urban,Alcoholic Beverages and Tobacco,165.3
2018,DEC,Urban,Clothing and Footware,93.2
2018,DEC,Urban,"Housing, Water, Electricity, Gas and Other Fuels",120.9
2018,DEC,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",116.5
2018,DEC,Urban,Health,122.6
2018,DEC,Urban,Transport,117.4
2018,DEC,Urban,Communication,95.9
2018,DEC,Urban,Recreation Services and Culture,111.4
2018,DEC,Urban,Education,118.9
2018,DEC,Urban,Restaurants and Hotels,132.7
2018,DEC,Urban,Miscellaneous Goods and Services,111.4
2018,JAN,Rural,Total,119.4
2018,JAN,Rural,Food and Non- Alcoholic Beverages,126.2
2018,JAN,Rural,Alcoholic Beverages and Tobacco,171.8
2018,JAN,Rural,Clothing and Footware,100.7
2018,JAN,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.5
2018,JAN,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.4
2018,JAN,Rural,Health,117.9
2018,JAN,Rural,Transport,119.3
2018,JAN,Rural,Communication,97.7
2018,JAN,Rural,Recreation Services and Culture,110.9
2018,JAN,Rural,Education,114.2
2018,JAN,Rural,Restaurants and Hotels,122.8
2018,JAN,Rural,Miscellaneous Goods and Services,114.0
2018,FEB,Rural,Total,119.3
2018,FEB,Rural,Food and Non- Alcoholic Beverages,126.1
2018,FEB,Rural,Alcoholic Beverages and Tobacco,171.5
2018,FEB,Rural,Clothing and Footware,100.6
2018,FEB,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.7
2018,FEB,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.4
2018,FEB,Rural,Health,118.1
2018,FEB,Rural,Transport,118.5
2018,FEB,Rural,Communication,97.8
2018,FEB,Rural,Recreation Services and Culture,111.4
2018,FEB,Rural,Education,114.3
2018,FEB,Rural,Restaurants and Hotels,123.1
2018,FEB,Rural,Miscellaneous Goods and Services,113.7
2018,MAR,Rural,Total,118.9
2018,MAR,Rural,Food and Non- Alcoholic Beverages,125.7
2018,MAR,Rural,Alcoholic Beverages and Tobacco,171.5
2018,MAR,Rural,Clothing and Footware,100.6
2018,MAR,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.8
2018,MAR,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.6
2018,MAR,Rural,Health,118.2
2018,MAR,Rural,Transport,116.6
2018,MAR,Rural,Communication,97.8
2018,MAR,Rural,Recreation Services and Culture,111.3
2018,MAR,Rural,Education,114.3
2018,MAR,Rural,Restaurants and Hotels,123.1
2018,MAR,Rural,Miscellaneous Goods and Services,113.9
2018,APR,Rural,Total,118.8
2018,APR,Rural,Food and Non- Alcoholic Beverages,125.5
2018,APR,Rural,Alcoholic Beverages and Tobacco,171.5
2018,APR,Rural,Clothing and Footware,100.6
2018,APR,Rural,"Housing, Water, Electricity, Gas and Other Fuels",114.8
2018,APR,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.6
2018,APR,Rural,Health,118.4
2018,APR,Rural,Transport,116.6
2018,APR,Rural,Communication,97.6
2018,APR,Rural,Recreation Services and Culture,111.3
2018,APR,Rural,Education,114.3
2018,APR,Rural,Restaurants and Hotels,123.3
2018,APR,Rural,Miscellaneous Goods and Services,113.9
2018,MAY,Rural,Total,119.0
2018,MAY,Rural,Food and Non- Alcoholic Beverages,125.4
2018,MAY,Rural,Alcoholic Beverages and Tobacco,171.4
2018,MAY,Rural,Clothing and Footware,100.6
2018,MAY,Rural,"Housing, Water, Electricity, Gas and Other Fuels",115.7
2018,MAY,Rural,"Furnishings, Households Equipment and Routine Household Maintenance",111.6
2018,MAY,Rural,Health,118.5
2018,MAY,Rural,Transport,116.6
2018,MAY,Rural,Communication,97.6
2018,MAY,Rural,Recreation Services and Culture,111.3
2018,MAY,Rural,Education,114.4
2018,MAY,Rural,Restaurants and Hotels,123.3
2018,MAY,Rural,Miscellaneous Goods and Services,113.9
2018,JUN,Rural,Total,118.0
2018,JUN,Rural,Food and Non- Alcoholic Beverages,124.7
